date,entry_id,temperatures
06-05-2025,1,32.6
07-05-2025,2,32.9
08-05-2025,3,31.9
09-05-2025,4,31.9
10-05-2025,5,32.4
11-05-2025,6,32.8
12-05-2025,7,32.8
13-05-2025,8,33.7
14-05-2025,9,32.6
15-05-2025,10,32.5
16-05-2025,11,31.5
17-05-2025,12,32.4
18-05-2025,13,31.9
19-05-2025,14,32.7
20-05-2025,15,32.8
